age,gender,daily_social_media_time,social_platform_preference,stress_level,sleep_hours,days_feeling_burnout_per_month
56,Male,4.18,Facebook,4.0,5.12,11
46,Male,3.25,Twitter,7.0,5.1,25
32,Male,3.03,Twitter,4.0,8.58,17
60,Female,3.03,Facebook,6.0,6.05,4
25,Male,3.03,Telegram,7.0,5.41,30
38,Male,1.51,Twitter,5.0,5.52,2
56,Female,4.38,TikTok,7.0,7.55,20
36,Female,4.09,Twitter,4.0,6.33,29
40,Female,4.1,Instagram,4.0,6.5,10
28,Other,7.6,Twitter,3.0,6.76,18
28,Male,3.34,Twitter,4.0,3.95,3
41,Female,2.2,Twitter,9.0,6.09,30
57,Male,0.0,Twitter,5.0,6.76,27
41,Male,3.77,TikTok,10.0,7.92,20
20,Male,5.83,TikTok,5.0,8.3,0
39,Male,2.31,Twitter,9.0,4.85,9
19,Male,5.62,Twitter,1.0,5.22,6
41,Female,3.03,Twitter,5.0,6.28,26
61,Female,1.45,Twitter,6.0,6.98,17
47,Other,1.44,TikTok,7.0,5.4,22
55,Female,0.07,TikTok,5.0,5.22,21
19,Male,5.92,Twitter,5.0,5.55,22
38,Male,4.03,TikTok,7.0,5.01,13
29,Male,1.55,Telegram,3.0,6.71,22
39,Female,4.59,Facebook,2.0,6.77,15
61,Female,1.98,Telegram,3.0,6.5,9
42,Male,2.08,Telegram,3.0,3.0,0
59,Male,3.03,Twitter,8.0,7.43,23
45,Male,1.0,Telegram,8.0,5.51,16
33,Male,0.77,Twitter,7.0,4.96,1
32,Female,2.71,Twitter,7.0,7.18,21
61,Female,2.48,TikTok,10.0,7.38,10
20,Male,0.4,Facebook,9.0,4.73,23
54,Male,1.75,Facebook,4.0,8.04,13
38,Female,3.09,TikTok,8.0,8.0,25
26,Male,3.73,Facebook,1.0,6.02,16
56,Female,3.03,Telegram,6.0,5.76,17
35,Male,0.55,Facebook,5.0,5.43,4
21,Male,0.4,Instagram,4.0,5.8,5
42,Female,5.04,Twitter,3.0,7.41,2
31,Female,3.03,Twitter,5.0,4.25,4
26,Male,3.56,Instagram,6.0,5.23,30
43,Male,3.03,TikTok,7.0,6.5,27
19,Female,1.99,TikTok,8.0,6.1,29
37,Male,0.0,Facebook,6.0,6.5,19
45,Male,3.03,Facebook,6.0,6.68,31
64,Female,5.62,Telegram,5.0,6.86,19
24,Female,2.96,Twitter,3.0,6.95,2
61,Male,1.63,Facebook,1.0,4.79,11
25,Female,6.59,Instagram,1.0,3.93,12
64,Female,1.57,TikTok,1.0,6.35,25
52,Male,4.59,Facebook,1.0,6.64,26
31,Female,0.01,TikTok,7.0,9.83,2
34,Other,3.92,Twitter,2.0,8.42,26
53,Male,0.4,Telegram,4.0,8.25,22
57,Male,3.76,TikTok,3.0,5.38,1
21,Female,3.03,TikTok,6.0,5.3,2
19,Female,2.27,Facebook,4.0,6.5,9
23,Male,3.03,Facebook,10.0,5.94,7
59,Female,5.17,Twitter,6.0,9.67,13
21,Female,2.83,Telegram,2.0,8.87,13
46,Female,3.79,Facebook,4.0,6.69,26
35,Female,8.69,Telegram,3.0,6.24,13
61,Male,1.46,Facebook,9.0,5.1,14
